"Predicted_Probability","Actual_Transition"
0.970877802575302,"1"
0.050633875471538,"0"
0.346726717298522,"0"
0.100226658358026,"0"
0.706672501339683,"1"
0.703640705010008,"0"
0.993065863183896,"1"
0.101158107866991,"0"
0.017193909970776,"0"
0.840471485219413,"0"
0.192737288248276,"0"
0.691056479784994,"1"
0.456762350228544,"1"
0.147776336849173,"0"
0.171568458601018,"0"
0.902408255853967,"1"
0.0613776684776569,"0"
0.870152264028494,"1"
0.0699898721535226,"0"
0.417812541661815,"1"
0.966280926587695,"1"
0.825838989385323,"1"
0.260268233904699,"0"
0.478511424436658,"0"
0.133355188718333,"0"
0.160054303527457,"1"
0.590395419711744,"0"
0.0416537282543373,"0"
0.171947725700522,"0"
0.175241287386041,"0"
0.0150019660710136,"0"
0.801743007460676,"1"
0.320749001880378,"0"
0.306980869199203,"1"
0.861293947170587,"1"
0.399183406066162,"0"
0.894620217022659,"0"
0.18717876294005,"1"
0.233531490539954,"1"
0.716970457767402,"0"
0.378339770101699,"0"
0.784678135532662,"0"
0.233110608792285,"0"
0.234877625228714,"0"
0.645676703440026,"1"
0.343360945626612,"1"
0.735834341038915,"1"
0.428572567513075,"0"
0.257144140399739,"1"
0.340497714977537,"0"
0.481220812540458,"1"
0.241054647343232,"1"
0.341995361759069,"0"
0.455227141981966,"1"
0.342501407701944,"0"
0.265608544151756,"0"
0.133501454447535,"0"
0.15597300850405,"0"
0.703549124940629,"1"
0.0105949915634745,"0"
0.579571640446439,"1"
0.491340904897284,"0"
0.578641019073368,"1"
0.55186645550119,"1"
0.294044848294297,"0"
0.69078194714792,"0"
0.52437595259067,"0"
0.733670942599592,"1"
0.0158167343528036,"0"
0.868838176022841,"0"
0.227203218869961,"0"
0.0543548845404609,"0"
0.994818566284565,"1"
0.692813482943037,"1"
0.801600478942482,"1"
0.880795963458293,"1"
0.118766286833635,"0"
0.132163656474368,"1"
0.0544634921863272,"0"
0.108395739247636,"0"
0.550335423716877,"1"
0.586240494789064,"0"
0.18443094427118,"0"
0.689902422884573,"1"
0.119928105989829,"0"
0.0992302360523826,"0"
0.124449583999859,"0"
0.656538438146804,"0"
0.487222590433574,"0"
0.778716945028212,"1"
0.0109760947701026,"0"
0.659101073540408,"0"
0.693019130800798,"0"
0.552005599392892,"1"
0.5765523583391,"1"
0.137989577119377,"0"
0.0501229948378943,"0"
0.685761016768336,"1"
0.0639122719679992,"0"
0.399833417348891,"0"
0.825083958791234,"1"
0.921044898050448,"1"
0.394140275539243,"1"
0.0039869348729799,"0"
0.403274580376519,"0"
0.0824844422688087,"0"
0.0127945863395137,"0"
0.364969273703385,"1"
0.00832885944515904,"0"
0.414682796273119,"0"
0.00728670991920555,"0"
0.273443764282847,"0"
0.0652958983788285,"0"
0.416268990215231,"1"
0.10976194079012,"0"
0.612622334792569,"1"
0.522050822630243,"1"
0.963414153516727,"1"
0.941767661800193,"1"
0.0273291178063136,"0"
0.341088341911327,"0"
0.484087963119743,"1"
0.0592264769964863,"0"
0.750518578680418,"1"
0.281820203029012,"0"
0.0625620688606534,"0"
0.999980714675365,"1"
0.1947282195746,"0"
0.310697268113985,"0"
0.329375952676918,"1"
0.549150343781858,"1"
0.952475149387949,"1"
0.237607407627116,"0"
0.021547025545361,"0"
0.167925885637738,"0"
0.705837609589974,"1"
0.366876338807404,"1"
0.0560637408013204,"0"
